name,April,February,January,June,March,May
Adam Nguyen,1,0,3,2,0,2
Adam Pearson,2,1,2,0,3,0
Adam Phelps Jr.,2,2,3,2,0,1
Adam Price,0,2,0,0,2,2
Adam Reynolds,1,0,3,2,1,2
Adam Rich,5,5,0,5,2,1
Adam Richmond,2,0,2,2,3,3
Adam Savage,0,0,1,0,3,3
Adam Serrano,3,3,2,1,3,2
Adam Silva Jr.,0,0,1,0,3,0
Adam Smith,3,2,3,2,2,1
Adam Tate,2,2,2,0,1,2
Adam Thompson,4,3,3,3,6,3
Adam Walsh,1,2,3,2,3,3
Adam Wilkinson,0,3,3,0,2,0
Adam Williams,0,3,2,3,1,2
Adam Young,1,2,2,3,1,2
Adrian Hall,3,0,2,3,2,3
Adrian Jenkins,1,2,2,1,3,3
Adrian Leonard,2,1,0,2,2,2
Adrian Mcgrath,3,1,3,1,1,0
Adrian Oneal,0,0,3,3,2,0
Adrian Perkins,2,3,0,2,0,3
Adrian Singh,0,0,3,0,3,2
Adrian Smith,0,2,1,3,0,2
Adrian Snyder,0,3,1,0,1,0
Adriana Jackson,1,0,2,3,1,3
Adriana Wright,0,1,3,1,2,0
Aimee Brown,3,1,1,1,3,1
Aimee Cervantes,2,1,2,3,2,1
Aimee Harrison,0,0,1,1,2,1
Aimee Pierce,0,2,3,3,3,1
Aimee Porter,2,1,1,0,2,1
Aimee Smith MD,2,2,3,2,0,2
Alan Brown,3,1,0,1,2,3
Alan Cunningham,1,3,2,3,3,2
Alan Fernandez,0,0,0,1,3,3
Alan Fisher,0,3,1,0,2,3
Alan Lewis,0,3,0,2,2,0
Alan Mclaughlin,1,0,2,1,0,0
Alan Meyer,2,1,0,2,0,1
Alan Obrien,0,2,2,0,2,0
Alan Reynolds,3,1,0,2,2,1
Alan Sanchez,2,1,5,3,3,1
Alan Stevens,0,3,0,1,1,1
Alan White Jr.,2,1,3,3,2,2
Alan Williamson,3,3,1,1,1,0
Albert Barnett,1,1,3,3,1,3
Albert Leonard,3,3,0,2,1,3
Albert Oneal,1,3,3,3,2,1
Albert Sanders,3,3,3,2,2,3
Albert Stewart,0,2,1,2,3,1
Albert Wong,0,2,0,3,2,1
Alec Lynch,2,1,2,1,2,3
Alejandra Peters,2,3,0,0,0,3
Alejandro Davis,0,0,0,0,2,2
Alejandro Garcia,1,3,1,0,1,3
Alejandro Hernandez,2,1,1,2,2,3
Alejandro Miller,0,3,1,1,3,1
Alejandro Moreno,2,1,0,0,3,2
Alex Barrera,1,0,1,1,1,1
Alex Delgado,2,1,2,1,1,3
Alex Harmon,3,3,2,1,3,3
Alex Harris,3,3,0,3,0,2
Alex Jenkins,2,3,3,3,3,0
Alex Kim,1,2,0,1,0,2
Alex Reese,3,1,2,0,2,3
Alex Stone,3,1,1,3,0,3
Alex Williams,2,2,1,0,1,2
Alexa Hebert,0,0,2,0,3,0
Alexa Hill,1,3,2,3,2,3
Alexander Brown,3,2,0,1,0,0
Alexander Cannon,2,3,0,2,3,3
Alexander Carter,0,1,2,1,0,0
Alexander Cortez,2,1,0,0,0,1
Alexander Davis,1,2,1,1,2,3
Alexander Fowler,0,1,2,3,3,3
Alexander Garcia,2,3,0,2,2,0
Alexander Hendricks,0,2,0,1,1,3
Alexander Irwin,0,3,2,3,3,3
Alexander Johns,3,0,1,0,0,1
Alexander Jones,0,0,0,1,2,3
Alexander Le,1,2,0,0,3,2
Alexander Malone,2,3,2,1,2,2
Alexander Nguyen,2,1,1,2,2,1
Alexander Phillips,3,0,2,1,1,0
Alexander Rhodes,2,3,0,1,3,2
Alexander Richardson,0,1,2,1,0,1
Alexander Simon,3,2,3,3,2,2
Alexander Singleton,3,0,0,2,3,3
Alexander Smith DDS,2,0,1,3,3,0
Alexander Stevenson,3,3,3,0,1,2
Alexandra Bass,0,2,2,0,3,2
Alexandra Boyd,2,1,0,3,3,3
Alexandra Cannon,0,2,1,0,1,3
Alexandra Crawford,1,2,3,0,1,0
Alexandra Dougherty,3,1,0,1,3,3
Alexandra Fleming,3,1,3,2,0,2
Alexandra Hamilton,1,0,2,3,2,0
Alexandra Hammond,0,2,3,1,2,0
Alexandra Kennedy,0,2,2,3,2,3
Alexandra Wang,3,3,1,2,1,2
Alexandra Weaver,2,3,3,0,3,0
Alexandra West,0,0,3,2,1,2
Alexandria Frank,0,1,3,0,2,0
Alexandria Holden,1,2,2,1,1,2
Alexandria Jones,1,2,3,3,2,3
Alexandria Kim,0,1,2,0,1,0
Alexandria Lyons,3,1,2,0,1,3
Alexandria Mason,3,2,1,1,0,0
Alexandria Rivers,1,2,2,2,0,2
Alexandria Thomas,3,3,1,1,3,3
Alexandria Ware,3,2,2,0,2,2
Alexis Franco,0,0,2,3,3,2
Alexis Hughes,3,1,3,1,2,0
Alexis Johnson,0,2,3,2,0,1
Alexis Kelley,1,3,3,1,1,2
Alexis Mccoy,1,1,1,3,1,1
Alexis Morris,3,0,1,2,3,3
Alexis Romero,1,2,2,2,1,3
Alexis Simmons,3,2,1,1,2,2
Alexis Thompson,2,1,2,3,2,3
Alice Powell,2,2,2,1,2,3
Alice Thomas,2,3,1,0,2,1
Alice White,3,3,0,2,0,2
Alicia Allen,0,2,0,3,1,3
Alicia Black,1,0,3,3,3,0
Alicia Greer,1,0,2,0,3,1
Alicia Guzman,2,2,1,3,2,1
Alicia Hamilton,0,2,1,1,3,2
Alicia Hayes,2,1,0,3,0,0
Alicia Hernandez,3,2,3,3,3,1
Alicia Holloway,2,2,3,1,1,0
Alicia Hunter,1,3,2,1,0,2
Alicia Kerr,2,0,2,3,2,3
Alicia King,2,2,0,1,3,0
Alicia Larson,2,2,1,0,1,2
Alicia Lewis,0,0,2,2,0,1
Alicia Mason,1,0,0,0,1,1
Alicia Maxwell,0,0,1,0,3,2
Alicia Munoz,3,3,2,1,1,3
Alicia Ortega,3,0,0,1,0,0
Alicia Parks,2,1,0,3,2,2
Alicia Price,1,0,0,1,2,1
Alicia Reynolds,3,1,0,3,2,3
Alicia Stephenson,1,1,2,1,2,3
Alicia Vaughan,3,0,1,2,1,3
Alicia Williams,2,1,2,3,2,3
Alicia Willis,2,2,2,3,2,0
Alicia Yates,0,0,3,3,0,0
Alisha Robinson,1,3,1,3,2,1
Alisha Spencer,3,0,1,0,0,0
Alisha Woods,0,3,2,3,2,2
Alison Baldwin,0,0,2,0,1,3
Alison Fisher,1,2,3,0,0,3
Alison Ford,2,2,3,3,0,0
Alison Harris,3,3,0,0,0,1
Alison Lee,2,3,3,0,2,2
Alison Mcintyre,0,1,0,3,0,1
Alison Navarro,1,2,2,2,1,3
Alison Walker,0,1,2,0,0,3
Alison Waters,3,3,1,3,0,2
Alison Wise,1,1,1,2,0,1
Allen Coleman,2,2,3,1,3,3
Allen Jones,3,3,2,1,2,3
Allen Nunez,2,0,1,2,1,1
Allen Simpson,3,2,1,2,3,0
Allen Snyder,0,0,1,0,2,0
Allen Tapia,0,3,3,3,2,0
Allison Abbott,3,3,0,2,1,2
Allison Bryant,2,2,0,2,3,0
Allison Casey,0,3,2,2,1,0
Allison Cooper,3,3,2,0,3,0
Allison Hayes,0,2,1,0,1,1
Allison Henry,1,1,3,1,2,1
Allison King,0,2,1,3,1,2
Allison Martin,1,2,1,2,1,2
Allison Obrien,0,1,0,1,3,1
Allison Rojas,3,3,2,1,3,2
Allison Smith,0,3,4,5,8,5
Allison Stephens,1,1,3,3,3,2
Alyssa Beasley,1,0,1,2,2,3
Alyssa Harrison,2,2,1,1,0,0
Alyssa Johnson,1,0,1,1,2,1
Alyssa Lopez,0,1,2,1,3,2
Alyssa Mays,1,2,3,1,3,1
Alyssa Mcguire,0,1,2,0,1,3
Alyssa Michael,0,0,2,3,2,2
Alyssa Payne,2,0,4,5,0,1
Alyssa Russell,3,3,1,2,2,1
Alyssa Thomas,0,3,2,2,2,2
Alyssa Tran,3,2,3,0,1,1
Amanda Allen,1,2,1,2,3,1
Amanda Alvarez,0,1,0,2,0,3
Amanda Anderson,3,3,1,2,0,2
Amanda Blake,3,2,0,0,3,3
Amanda Butler,0,3,3,0,3,1
Amanda Castillo,3,0,1,2,1,2
Amanda Davis,3,3,1,0,0,0
Amanda Edwards DVM,1,0,1,3,2,0
Amanda Elliott,3,0,0,3,1,0
Amanda Farley,0,2,3,1,3,2
Amanda Flowers,0,1,1,0,0,2
Amanda Frey,3,0,3,2,3,0
Amanda Garza,0,3,1,0,2,2
Amanda Gomez,1,3,3,1,3,3
Amanda Gonzales,2,0,3,0,3,2
Amanda Gonzalez,2,3,3,1,2,2
Amanda Hall,2,0,2,1,3,2
Amanda Hardy,2,0,0,0,0,1
Amanda Hernandez,3,3,3,0,1,3
Amanda Howard,2,2,0,2,1,2
Amanda Hudson,0,1,1,0,3,2
Amanda Jones,0,2,3,2,0,0
Amanda Kerr PhD,1,1,2,3,1,1
Amanda Little,3,1,3,2,1,1
Amanda Love,1,2,0,3,0,2
Amanda Martin,3,4,3,0,3,5
Amanda Mccall,1,1,1,0,2,0
Amanda Mcdaniel,2,1,3,0,1,3
Amanda Moss,0,3,0,1,2,0
Amanda Nichols,2,0,3,2,1,2
Amanda Novak,2,3,3,3,0,2
Amanda Olsen,0,1,1,0,2,3
Amanda Oneill,2,1,3,2,0,1
Amanda Owens,3,3,4,2,3,5
Amanda Perez,2,1,3,0,2,0
Amanda Price,0,3,3,0,2,0
Amanda Ramirez,2,3,1,5,2,4
Amanda Randall,0,3,2,2,2,1
Amanda Reeves,2,0,2,2,2,1
Amanda Rodriguez,3,3,1,2,2,1
Amanda Russell,0,0,1,2,0,2
Amanda Shelton,2,0,3,0,1,0
Amanda Smith,6,4,5,5,8,6
Amanda Snyder,2,2,1,2,2,1
Amanda Sparks,3,1,0,3,2,3
Amanda Stewart,3,3,1,1,2,0
Amanda Stuart,0,2,3,1,2,2
Amanda Thomas,2,3,0,1,3,0
Amanda Vargas,6,8,7,5,4,7
Amanda Waller,2,1,3,3,3,1
Amanda White,2,2,2,1,0,2
Amber Adams,1,3,1,0,3,2
Amber Allen,0,3,2,3,1,3
Amber Bell,1,2,3,0,1,0
Amber Berg,0,1,2,1,1,2
Amber Bridges,2,0,0,1,1,1
Amber Brown,5,1,3,3,6,5
Amber Burgess,3,1,1,3,1,3
Amber Cervantes MD,3,3,3,1,1,1
Amber Cross,0,1,1,2,3,0
Amber Davis,1,3,3,1,3,1
Amber Fuller,0,2,2,3,3,2
Amber Gibbs,2,3,3,3,2,1
Amber Green MD,0,1,2,0,0,1
Amber Hines,3,1,0,2,1,0
Amber Howard,1,0,2,2,1,3
Amber Johnson,1,3,1,0,1,2
Amber Jones,3,4,4,2,3,6
Amber Kerr,2,2,2,2,3,1
Amber King,1,1,2,2,1,2
Amber Mendez,3,1,1,1,1,2
Amber Miller,5,4,6,3,5,3
Amber Mitchell,1,2,2,3,2,1
Amber Roberts,1,1,3,2,0,3
Amber Robinson,2,3,3,0,1,1
Amber Walters,1,3,3,1,2,1
Amber Weber,3,1,3,0,3,0
Amber Wilkinson,1,0,1,0,2,2
Amy Andrews,3,0,2,1,3,1
Amy Baker,1,3,0,0,1,0
Amy Barnett,3,2,3,1,0,2
Amy Bryant,1,5,3,4,2,2
Amy Carson,1,1,1,2,0,3
Amy Crawford,2,1,1,2,3,0
Amy Davis,3,0,2,2,2,3
Amy Dorsey,1,3,1,1,3,2
Amy Fitzgerald,2,1,0,1,0,2
Amy Freeman,1,1,0,2,3,3
Amy Frey,1,0,3,3,3,3
Amy Goodwin,3,0,0,1,0,1
Amy Gray,1,1,2,1,0,2
Amy Harvey,0,2,1,3,1,0
Amy Herring,3,3,3,0,0,0
Amy Hogan,2,2,2,2,1,2
Amy Howell,3,2,2,3,1,2
Amy Hughes,2,2,1,3,3,2
Amy Jackson,0,0,0,0,2,0
Amy Johnson,0,0,0,3,3,1
Amy Jones,1,2,1,3,3,1
Amy Jordan,2,2,0,1,1,2
Amy Larson,0,2,1,2,2,1
Amy Mack,1,2,2,1,3,3
Amy Mata,0,0,0,2,1,2
Amy Mcguire,1,0,2,0,2,2
Amy Mclaughlin,1,0,3,0,2,1
Amy Mcmillan,2,3,3,1,1,0
Amy Morales,0,3,0,1,3,3
Amy Munoz,2,3,0,0,1,1
Amy Murillo,3,1,3,3,3,3
Amy Norris,0,3,2,3,2,1
Amy Ortega,3,2,1,2,1,0
Amy Ray,2,1,3,1,3,3
Amy Roberts,0,0,3,3,0,3
Amy Rodriguez,1,1,3,1,0,2
Amy Rogers,1,3,3,2,3,1
Amy Romero,0,1,0,3,1,2
Amy Rosales,3,1,1,1,3,1
Amy Sellers,2,2,2,0,3,1
Amy Soto,3,2,3,3,2,2
Amy Stewart,1,1,2,2,2,2
Amy Suarez,1,1,0,2,3,3
Amy Sutton,0,1,1,3,3,2
Amy Valentine,2,1,3,3,2,2
Amy Vargas,0,1,2,1,3,0
Amy Wade,3,1,3,3,3,2
Amy West,2,3,1,0,2,1
Amy Williams,0,2,2,3,3,1
Amy Wilson,2,3,2,3,2,0
Amy Woods,1,3,2,2,3,3
Ana Reilly,1,2,1,1,2,1
Ana Smith,3,3,0,2,2,3
Andre Campos,3,1,0,1,1,3
Andre Cunningham,0,3,3,2,0,3
Andre Olson,1,0,0,2,2,1
Andre Ray,3,0,0,0,3,3
Andre Shepherd,0,2,0,2,1,1
Andre Ward,2,3,3,0,2,1
Andre Williams,0,0,2,1,3,0
Andrea Allen,3,1,0,0,3,0
Andrea Black,2,3,3,1,3,1
Andrea Brown,2,4,3,4,3,2
Andrea Cain,1,2,2,3,2,0
Andrea Cooper,3,1,0,3,5,4
Andrea Crane,1,0,2,1,3,3
Andrea Dixon,2,2,0,3,1,2
Andrea Hall,3,3,3,1,2,1
Andrea Hanna,3,0,2,3,1,0
Andrea Howard,2,1,1,2,2,0
Andrea Johnson,2,2,3,3,2,0
Andrea Kelly,2,2,0,2,0,0
Andrea Lopez,2,2,3,2,3,2
Andrea Lowery,1,3,1,2,1,1
Andrea Mccarty,2,2,2,3,1,1
Andrea Nguyen,3,3,1,1,2,0
Andrea Phillips,3,2,0,1,1,0
Andrea Porter,0,3,0,0,0,3
Andrea Santos,2,0,3,2,0,1
Andrea Schmidt,3,3,2,2,3,3
Andrea Stout,1,0,1,2,2,0
Andrea Williamson,1,3,1,1,0,1
Andrew Adams,0,1,0,0,1,3
Andrew Alvarado,3,3,3,0,3,2
Andrew Anderson,1,1,2,2,0,0
Andrew Bennett,1,1,1,3,3,1
Andrew Bray,1,0,1,1,1,1
Andrew Brown,3,1,2,2,0,3
Andrew Bush,3,2,0,2,1,0
Andrew Calhoun,2,2,2,0,2,2
Andrew Cervantes,1,2,1,1,0,0
Andrew Charles,2,0,1,2,3,2
Andrew Chavez,4,3,3,3,5,4
Andrew Clark,2,3,2,1,1,1
Andrew Conrad,3,0,2,1,1,1
Andrew Cuevas,1,1,2,2,1,2
Andrew Curtis MD,3,1,0,3,2,2
Andrew Dillon,3,3,1,3,2,3
Andrew Dodson,1,1,3,1,3,0
Andrew Fowler,1,2,2,0,1,2
Andrew Fuller,5,8,4,5,2,6
Andrew Gaines,3,2,1,3,1,3
Andrew Garcia,0,3,3,0,0,2
Andrew Gonzalez,3,4,2,2,4,2
Andrew Gordon,2,3,2,2,0,2
Andrew Graves,0,3,2,3,0,2
Andrew Gutierrez,1,1,1,0,3,1
Andrew Holloway,3,0,1,2,0,2
Andrew Hooper,0,3,1,1,3,1
Andrew Johnson,0,1,1,2,3,1
Andrew Long,0,2,2,3,3,2
Andrew Lopez,3,0,1,1,0,1
Andrew Marquez,0,1,1,2,2,2
Andrew Moore,6,6,5,1,5,6
Andrew Morris,1,3,2,0,3,2
Andrew Navarro,0,0,3,1,1,3
Andrew Nguyen,2,0,3,0,3,3
Andrew Oneal,3,1,3,1,1,2
Andrew Owen,0,1,1,0,3,2
Andrew Phillips,0,1,3,2,2,2
Andrew Sanchez,2,1,2,2,0,2
Andrew Tanner,2,3,2,1,3,2
Andrew Thornton,2,3,1,2,1,0
Andrew Ward,2,0,2,3,2,3
Andrew Webb,0,3,1,2,2,0
Andrew Welch,3,3,1,3,1,1
Andrew White,8,5,4,7,2,5
Andrew Willis,2,1,1,1,3,2
Andrew Woods,3,0,1,1,3,1
Andrew Yang,3,1,0,3,0,0
Angel Allen,3,2,2,2,2,3
Angel Banks DVM,3,2,0,3,0,1
Angel Bauer,3,1,2,0,1,1
Angel Butler,0,2,0,3,2,1
Angel Jones,1,1,3,0,2,2
Angel Keller,2,0,2,2,1,2
Angel Kemp,3,0,2,3,0,3
Angel Lucas,0,3,3,1,1,0
Angel Roberts,2,0,1,3,3,2
Angel Schmidt,3,3,3,2,0,0
Angel Sherman,3,1,3,0,3,3
Angel Soto,1,0,2,3,2,1
Angel Thompson,3,0,3,2,0,2
Angel Watson,3,1,2,2,1,3
Angel White,2,2,2,2,0,0
Angel Williams,1,1,1,2,3,0
Angel Wood,2,1,2,3,0,0
Angela Alvarado,2,3,1,3,0,0
Angela Anderson,2,1,3,1,2,2
Angela Bailey,3,0,3,3,3,1
Angela Banks,0,2,0,3,2,0
Angela Berg,0,2,2,1,2,2
Angela Casey,3,1,3,1,2,3
Angela Cole,1,1,0,1,3,2
Angela Coleman,2,2,2,2,0,0
Angela Contreras,1,1,0,3,0,1
Angela Cook,1,2,3,3,3,3
Angela Davis,3,2,1,2,0,2
Angela Duncan,2,1,2,1,3,3
Angela Dunn,3,1,2,3,0,3
Angela Ellis,1,2,3,3,0,3
Angela Espinoza,1,1,1,2,2,1
Angela Gomez,1,3,5,4,4,4
Angela Gray,0,2,2,1,1,2
Angela Green,1,1,3,0,3,0
Angela Hahn,2,1,2,3,3,1
Angela Harris,1,1,0,0,3,1
Angela Harrison,0,1,3,1,0,0
Angela Hernandez,3,2,3,2,1,3
Angela House,1,2,3,1,1,3
Angela Houston,2,3,2,0,1,0
Angela Huang,2,0,0,3,0,1
Angela Hunter,1,3,3,3,1,2
Angela King,2,3,3,2,0,3
Angela Lane,0,0,3,2,1,1
Angela Lee,2,3,0,0,2,3
Angela Little,0,2,0,1,1,1
Angela Lopez,3,3,3,2,3,3
Angela Mcknight,2,2,1,0,2,1
Angela Miller,1,2,2,1,2,3
Angela Montgomery,1,1,0,3,1,3
Angela Moyer,1,1,3,2,3,1
Angela Payne,1,3,0,2,3,3
Angela Pittman,0,0,3,2,2,0
Angela Ramos,3,2,2,0,1,0
Angela Ramsey,1,3,2,1,3,2
Angela Reed,2,1,0,0,1,0
Angela Richard,2,2,1,3,2,0
Angela Scott,1,3,1,3,0,0
Angela Shelton,2,3,3,0,3,1
Angela Stevens,1,3,1,0,2,3
Angela Thomas MD,3,0,0,1,2,2
Angela Williams,1,2,1,2,3,2
Angela Willis,3,2,0,2,0,0
Angela Wright,0,1,2,3,0,0
Angelica Chapman,1,0,1,1,3,1
Angelica Deleon,3,1,1,0,2,2
Angelica Reed,1,3,0,3,1,3
Angelica Reynolds,2,0,1,3,0,1
Angelica Sims,3,0,1,2,3,3
Angelica Walker,1,0,2,3,1,0
Angie Hanson,0,1,1,0,0,1
Angie Hendricks,2,0,3,3,3,2
Angie Jones,2,1,3,1,3,1
Angie Smith,2,2,2,1,0,3
Anita Arnold,1,1,0,1,2,2
Anita Austin,1,0,0,0,1,3
Anita Gibson,0,2,1,1,0,3
Anita Perez,2,3,0,3,3,1
Anita Russell,3,2,2,2,2,2
Ann Baker,6,5,2,2,3,2
Ann Brooks,3,2,3,0,1,0
Ann Carter,1,2,1,2,3,1
Ann Crawford,0,3,1,3,1,1
Ann Freeman,2,2,3,2,3,3
Ann Hall,2,2,0,3,2,1
Ann Jackson,3,1,3,0,2,2
Anna Brewer,1,3,0,0,3,0
Anna Cowan,0,1,3,1,1,3
Anna Fernandez,2,1,1,1,1,1
Anna Hamilton,0,1,2,1,2,3
Anna Hansen DDS,3,2,1,3,3,3
Anna Hensley,1,3,1,3,3,0
Anna Herman,0,0,3,0,0,2
Anna Howell,2,2,3,1,2,2
Anna Lopez,4,5,0,3,3,2
Anna Martinez,2,3,3,0,2,0
Anna Miller,1,3,3,1,2,1
Anna Morrison,3,1,0,2,0,3
Anna Munoz,3,1,0,0,1,3
Anna Myers,3,2,0,3,0,0
Anna Nelson,3,2,1,2,0,0
Anna Perez,1,2,3,2,0,1
Anna Pierce,0,1,3,0,1,0
Anna Richmond,3,0,2,0,0,2
Anna Robertson,0,2,2,0,3,0
Anna Robinson,1,0,0,1,2,2
Anna Schultz,1,0,2,2,1,2
Anna Smith,2,0,2,3,1,2
Anna Todd,2,2,0,2,2,2
Anna Villanueva,1,3,1,2,3,2
Anna Wiggins,2,0,3,0,0,2
Anna Williams,3,2,2,2,2,3
Anne Bell,1,2,1,2,1,2
Anne Bowman MD,0,3,3,0,2,1
Anne Carpenter,0,3,3,2,2,3
Anne Fry,2,3,2,1,3,1
Anne Harrell,2,1,2,0,1,2
Anne Johns,2,0,3,1,3,3
Anne Mcclure,2,0,1,2,2,1
Anne Moon,3,2,3,3,1,1
Anne Myers,0,3,2,1,0,0
Anne Riley,1,0,3,1,3,3
Anne Sullivan,0,0,2,1,3,3
Annette Anderson,1,2,2,2,0,2
Annette Arnold,2,3,2,3,3,3
Annette Davenport,0,1,1,2,1,2
Annette Dixon,2,2,3,1,2,3
Annette Hardy,2,2,1,1,2,3
Annette Hart,1,3,1,3,3,1
Annette May,0,2,3,1,2,3
Anthony Alexander,2,3,2,1,3,3
Anthony Anderson,0,1,3,3,2,2
Anthony Beck,2,0,0,1,3,0
Anthony Bell,2,2,1,1,0,3
Anthony Brown,4,7,5,0,2,4
Anthony Cross,3,0,0,0,0,3
Anthony Curry,1,2,1,3,0,3
Anthony Davenport,1,2,2,1,3,3
Anthony Davis,3,3,3,3,1,2
Anthony Doyle,0,3,1,2,2,3
Anthony Duncan,3,1,0,3,3,3
Anthony Fisher,1,0,3,2,0,0
Anthony Garza,1,1,2,0,2,0
Anthony Goodman,2,0,3,0,0,1
Anthony Green,0,3,0,3,2,1
Anthony Hall,1,1,0,1,2,1
Anthony Hanson,1,0,1,1,2,0
Anthony Harris,2,1,2,0,2,0
Anthony Hood,0,1,3,2,1,1
Anthony Hooper,3,2,1,1,2,3
Anthony Hudson,1,1,3,1,3,3
Anthony Humphrey,0,0,0,2,2,3
Anthony Jenkins,4,3,1,4,2,2
Anthony Johnson,4,1,0,4,2,4
Anthony Jones,1,0,0,2,1,3
Anthony Jordan,3,1,1,0,0,2
Anthony Lynch,0,0,3,3,3,2
Anthony Mcconnell,0,3,2,2,0,0
Anthony Mccoy,3,1,2,3,2,0
Anthony Mccullough,3,1,2,1,3,3
Anthony Mcdonald,3,3,3,3,1,3
Anthony Mendoza,0,1,0,2,3,2
Anthony Mitchell,1,3,1,1,3,0
Anthony Moyer,1,2,0,3,2,0
Anthony Nichols,1,1,2,3,3,3
Anthony Norton,3,0,3,1,2,0
Anthony Pace,0,2,2,0,3,1
Anthony Perez,3,3,2,3,3,3
Anthony Peters,3,1,1,2,3,2
Anthony Reese,0,3,1,3,0,0
Anthony Ross,1,3,2,2,0,0
Anthony Roy,3,1,1,1,1,0
Anthony Ruiz,2,2,1,1,2,1
Anthony Serrano,0,0,3,0,3,1
Anthony Simmons,2,0,0,1,1,2
Anthony Sullivan,2,2,0,0,2,1
Anthony Thornton,2,3,1,3,2,1
Anthony Vincent,1,1,0,0,3,2
Anthony Ward,2,1,3,1,0,3
Anthony Watts,5,0,3,3,5,2
Anthony Weber,0,1,0,1,2,0
Anthony Wilson,1,3,2,0,2,0
Anthony Woods,3,3,2,1,1,2
Anthony Wright,0,0,0,3,0,3
Antonio Jones,2,1,2,2,2,0
Antonio Mcdaniel,0,2,1,2,0,0
Antonio Perez,1,2,1,2,2,3
Antonio Rodriguez,0,2,3,1,1,2
Antonio Wood III,1,0,3,0,3,3
April Andrade,1,3,0,0,0,3
April Bowers,3,0,2,0,0,0
April Gray,3,3,2,2,1,1
April Hansen,1,1,1,2,3,2
April Harris,2,2,3,0,1,1
April Henderson,3,1,2,3,3,3
April Jackson,1,3,0,1,1,3
April Johnson,2,0,2,2,3,1
April Lee,0,0,3,0,0,1
April Moore,0,0,1,3,2,0
April Morgan,2,2,2,1,0,0
April Rice,2,0,3,1,3,2
April Rivera,2,3,2,1,2,0
April Sanchez,2,3,1,1,0,2
April Smith,1,1,0,0,3,3
April Taylor,0,1,3,2,2,2
April Thompson,3,3,2,0,2,3
Ariana Forbes,3,1,2,2,2,3
Ariana Hill,3,0,3,1,1,2
Ariana Marquez,0,0,2,2,3,3
Ariana Page,1,0,0,1,3,3
Ariel Romero,1,0,0,0,0,2
Arthur Hughes,0,3,1,2,2,3
Arthur Kaiser,0,3,2,0,2,3
Arthur Sims,3,1,3,0,1,1
Arthur Smith,2,1,0,0,1,3
Arthur Turner DDS,0,3,0,2,1,2
Ashlee Valenzuela,3,2,2,3,1,3
Ashley Allen,0,2,3,0,1,1
Ashley Alvarado,3,3,2,0,2,0
Ashley Atkinson,3,3,1,3,0,0
Ashley Bailey,3,2,3,3,4,5
Ashley Boyer DDS,0,1,0,3,3,0
Ashley Bradshaw,3,0,1,0,2,3
Ashley Brown MD,3,3,0,0,2,3
Ashley Calderon,0,1,3,0,2,0
Ashley Chaney,3,0,0,1,2,0
Ashley Collins,0,3,0,1,1,1
Ashley Davies,1,3,3,2,1,2
Ashley Davis,3,0,3,0,3,1
Ashley Diaz,0,0,3,0,0,3
Ashley Espinoza,1,1,2,1,1,3
Ashley Ford,1,1,1,3,2,0
Ashley Frederick,3,1,0,1,1,2
Ashley French,2,2,1,2,2,2
Ashley Garza,1,1,5,2,2,6
