,,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value,transaction_value
Alexandria Ware,perkinsmolly,13093,6936,17156,0,4495,10195
Alexis Franco,stewartderrick,0,0,5196,20441,20110,14055
Alexis Hughes,hernandezgloria,16446,1800,19894,4894,8995,0
Alexis Johnson,rebecca55,0,16406,14548,11090,0,10055
Alexis Kelley,timothy79,5145,9666,22378,4347,9460,5896
Alexis Mccoy,stewartfrancisco,6196,10577,5186,5545,2394,5646
Alexis Morris,cparker,14378,0,6196,6898,19872,11868
Alexis Romero,kathleen94,3596,8646,12141,10942,600,14384
Alexis Simmons,don48,25274,3640,1598,2600,13146,4694
Alexis Thompson,knighterica,4394,4130,6900,19840,11884,1999
Alice Powell,ugriffin,14858,5692,14367,3000,11174,13886
Alice Thomas,weaverrichard,4592,16076,6897,0,10696,3196
Alice White,roblescody,17017,4497,0,5578,0,9318
Alicia Allen,teresa71,0,15156,0,9525,4296,24363
Alicia Black,kevinbuchanan,5794,0,15933,22159,21653,0
Alicia Greer,jonathan09,11153,0,4137,0,22650,6396
Alicia Guzman,emilywoods,8480,11534,9558,12291,3194,6650
Alicia Hamilton,carolinepowers,0,6025,3897,1500,13183,5845
Alicia Hayes,timothyguzman,4497,450,0,15058,0,0
Alicia Hernandez,evanselizabeth,11794,4045,9196,13358,14234,398
Alicia Holloway,owest,13617,9259,14922,1990,799,0
Alicia Hunter,tammyrichard,150,14892,11987,4500,0,11996
Alicia Kerr,alyssajimenez,2100,0,7497,16269,4596,23232
Alicia King,robert41,8495,4087,0,3897,6991,0
Alicia Larson,kristine23,16084,11952,2598,0,3098,14198
Alicia Lewis,sanchezdaniel,0,0,10791,6150,0,5376
Alicia Mason,thutchinson,2598,0,0,0,7960,1000
Alicia Maxwell,daviddiaz,0,0,6289,0,10193,14867
Alicia Munoz,lindseywalker,12737,3394,10093,6996,2000,10836
Alicia Ortega,michelle64,16489,0,0,8260,0,0
Alicia Parks,wyattrobinson,3997,7000,0,13747,4398,3195
Alicia Price,ywilliams,3897,0,0,3398,14756,9196
Alicia Reynolds,dicksonnicholas,10438,7293,0,10892,7795,28044
Alicia Stephenson,manuelmelton,1500,6000,5995,6592,7897,13818
Alicia Vaughan,shanemurphy,13662,0,6377,13344,1300,14692
Alicia Williams,qparker,14080,5196,9994,7167,1896,18580
Alicia Willis,bellkimberly,15282,11097,4294,22244,20720,0
Alicia Yates,moodycurtis,0,0,8789,21688,0,0
Alisha Robinson,chad16,2394,5743,500,6945,3500,3196
Alisha Spencer,shanehaney,11561,0,1000,0,0,0
Alisha Woods,jameswebster,0,19766,18385,8895,6769,11686
Alison Baldwin,rserrano,0,0,11296,0,3497,23822
Alison Fisher,tara43,898,9196,21224,0,0,22466
Alison Ford,christy29,15166,5875,13188,18167,0,0
Alison Harris,emilymorales,6595,3697,0,0,0,6776
Alison Lee,kathleendouglas,5197,24856,13527,0,5143,12794
Alison Mcintyre,scottdeanna,0,6276,0,13590,0,2000
Alison Navarro,brianna11,5395,3150,2597,9299,698,14054
Alison Walker,katie87,0,8309,5794,0,0,25369
Alison Waters,kylesantos,9590,14236,4295,2699,0,22068
Alison Wise,randerson,3992,799,1500,10497,0,4500
Allen Coleman,brendacrane,7186,9474,22542,8480,20101,5186
Allen Jones,randycontreras,8694,8986,9078,5970,9977,8847
Allen Nunez,molly30,8588,0,13269,2399,5000,3300
Allen Simpson,greenamy,13390,18610,1500,8933,21053,0
Allen Snyder,zjackson,0,0,349,0,5238,0
Allen Tapia,amy97,0,7398,7046,15007,12656,0
Allison Abbott,sarah27,14392,17537,0,4789,1500,7480
Allison Bryant,levineamy,12068,6766,0,946,12271,0
Allison Casey,adam07,0,22656,7195,9559,1990,0
Allison Cooper,schaeferapril,15480,16342,16178,0,20273,0
Allison Hayes,anthonynguyen,0,13689,6794,0,6150,6790
Allison Henry,allison12,1898,11397,6690,2098,7295,2799
Allison King,valdezjoshua,0,17503,398,10767,9676,18382
Allison Martin,margaret07,5696,6494,6470,1699,3196,6898
Allison Obrien,martinashley,0,6195,0,3300,16658,11196
Allison Rojas,hilljessica,16196,7048,11470,7186,8766,8995
Allison Smith,belinda96,0,0,0,0,1100,0
Allison Smith,foleyjonathan,0,7347,1946,5694,15393,9393
Allison Smith,johnsonkatie,0,0,6876,12157,3898,8095
Allison Stephens,tbaker,2598,2698,11687,4834,22986,5679
Alyssa Beasley,heidi04,8598,0,6490,7897,15651,9329
Alyssa Harrison,yhart,12754,6588,600,1599,0,0
Alyssa Johnson,bethany72,450,0,5480,7496,11656,6897
Alyssa Lopez,qschaefer,0,2894,16440,3000,13119,7094
Alyssa Mays,iwilson,7960,6000,14634,4098,13691,3888
Alyssa Mcguire,catherinediaz,0,3500,2796,0,4696,20109
Alyssa Michael,bdavis,0,0,12365,24947,1048,9026
Alyssa Payne,amanda42,0,0,8198,18970,0,0
Alyssa Payne,marycortez,7993,0,8744,17362,0,2598
Alyssa Russell,oserrano,9906,27452,6500,11157,3098,13756
Alyssa Thomas,floresdarryl,0,4443,3496,9176,7836,4295
Alyssa Tran,bradyhannah,4786,11190,13693,0,5795,8578
Amanda Allen,patrick15,3196,9375,7568,6595,22519,3897
Amanda Alvarez,tiffanyrogers,0,9646,0,14867,0,6897
Amanda Anderson,xjensen,7683,10963,2897,9188,0,7589
Amanda Blake,tracymorgan,4497,6894,0,0,12951,14292
Amanda Butler,xcollins,0,13013,18550,0,14413,2100
Amanda Castillo,oneilltravis,14374,0,2898,12155,1500,2799
Amanda Davis,theodoreanderson,7182,14586,4500,0,0,0
Amanda Edwards DVM,teresa82,2395,0,600,12356,11591,0
Amanda Elliott,eric43,17970,0,0,15881,7598,0
Amanda Farley,brandihickman,0,18058,10943,9209,17756,9950
Amanda Flowers,jstevens,0,600,4992,0,0,20487
Amanda Frey,johnsoncory,8272,0,13538,12338,24849,0
Amanda Garza,mckaylogan,0,21803,9659,0,13709,2896
Amanda Gomez,wmayo,8897,15687,14239,9972,20833,18052
Amanda Gonzales,hhill,13176,0,6476,0,17361,8775
Amanda Gonzalez,lauren43,10393,5683,14681,5500,13490,8748
Amanda Hall,leehayes,7389,0,6300,7869,9665,12326
Amanda Hardy,vickibishop,8342,0,0,0,0,799
Amanda Hernandez,jespinoza,18768,25862,13184,0,799,16392
Amanda Howard,pattersonmichael,13612,6620,0,4295,2598,11166
Amanda Hudson,tvaldez,0,4898,2397,0,24156,7118
Amanda Jones,wjackson,0,5227,9895,9395,0,0
Amanda Kerr PhD,karen68,3396,2095,9198,10784,4096,1296
Amanda Little,alexisgarcia,11386,6378,6783,2694,6570,11995
Amanda Love,timothymunoz,1950,9188,0,17265,0,5397
Amanda Martin,henry00,1300,6487,5595,0,11940,10043
Amanda Martin,jennifer81,398,13991,17002,0,8299,12121
Amanda Mccall,michaelgray,3000,500,500,0,4246,0
Amanda Mcdaniel,john22,4595,2950,11424,0,6450,14779
Amanda Moss,kylereed,0,20659,0,8696,17152,0
Amanda Nichols,martinezsarah,13064,0,18425,9460,8397,3697
Amanda Novak,shannon03,17651,3497,6490,2544,0,9120
Amanda Olsen,abrown,0,9867,8196,0,7495,20849
Amanda Oneill,storres,13060,2490,15797,5429,0,7769
Amanda Owens,benjamin99,13992,3796,5384,3843,15711,16233
Amanda Owens,jonathanalvarado,2097,6276,17497,0,0,10794
Amanda Perez,pgonzales,5085,6000,14394,0,11547,0
Amanda Price,amandabass,0,8336,17186,0,6944,0
Amanda Ramirez,jonathon79,4950,19942,11367,19892,14960,6744
Amanda Ramirez,tylerponce,4748,150,0,7970,7098,15166
Amanda Randall,rayrobin,0,12527,6699,450,11582,3398
Amanda Reeves,tiffany48,6897,0,11397,8174,14676,150
Amanda Rodriguez,esmith,8744,11249,6378,3896,8091,1097
Amanda Russell,eric96,0,0,6995,15858,0,10460
Amanda Shelton,kbaker,19826,0,1400,0,950,0
Amanda Smith,pmorris,848,7697,23936,16045,9545,1898
Amanda Smith,wrightchristina,14413,0,12894,4498,11506,9708
Amanda Smith,wwillis,500,4293,0,6198,17988,11692
Amanda Snyder,baileyvicki,12791,8960,6193,8097,10476,9858
Amanda Sparks,morrisonjames,19611,5480,0,17117,13985,5185
Amanda Stewart,angelamorgan,22092,12669,799,4098,3199,0
Amanda Stuart,daniel82,0,12444,14020,6199,16728,7186
Amanda Thomas,wfuller,3600,10464,0,1990,12168,0
Amanda Vargas,jordanlaura,0,3098,6368,8444,8490,25308
Amanda Vargas,jwilson,17064,14396,14593,4789,0,1000
Amanda Vargas,sthompson,11687,15274,10295,4146,8578,19151
Amanda Waller,martinezvincent,7785,1198,13457,12083,5692,3594
Amanda White,epalmer,12613,7998,5742,5970,0,13639
Amber Adams,zmayo,8867,24539,6470,0,9389,11155
Amber Allen,michael10,0,6686,10786,21034,4995,13986
Amber Bell,josephthomas,2898,11940,15224,0,4693,0
Amber Berg,sandra28,0,5992,8600,398,7960,9185
Amber Bridges,yschwartz,7984,0,0,1000,9892,1650
Amber Brown,farrellmichele,9294,4497,7743,11766,10869,14018
Amber Brown,jennifer02,15363,0,13961,9593,7093,7736
Amber Burgess,stevenhill,26377,600,1047,18208,9897,5949
Amber Cervantes MD,alisongriffith,11282,8692,6393,2697,9892,597
Amber Cross,rossbernard,0,548,3000,10091,14632,0
Amber Davis,margaret73,1598,11190,20809,1990,23857,7197
Amber Fuller,dannymartin,0,3693,8593,9841,14065,5598
Amber Gibbs,elizabeth48,9825,12386,10276,8582,11168,13558
Amber Green MD,zacharycunningham,0,1296,12748,0,0,3980
Amber Hines,sanforderic,13333,398,0,15146,6249,0
Amber Howard,amandamaldonado,150,0,20230,3898,450,10023
Amber Johnson,maria38,1500,9943,300,0,3500,5587
Amber Jones,laura28,0,18992,7444,7570,699,8196
Amber Jones,mariaknight,6326,8759,6294,2689,8266,11179
Amber Kerr,lauraleon,5196,600,8196,8996,16373,8887
Amber King,schaeferryan,300,3646,10162,8789,3398,3994
Amber Mendez,scott58,7697,6444,5578,9559,2398,6396
Amber Miller,chad66,6592,3195,9965,2296,7896,5184
Amber Miller,darlenemalone,3450,10279,6548,5897,10192,300
Amber Mitchell,melissaschultz,4500,15959,6795,12667,5575,8260
Amber Roberts,beth97,1547,398,18758,13254,0,18478
Amber Robinson,nixonallison,7950,20679,7578,0,1150,5196
Amber Walters,gomezjoanne,1500,19148,12078,398,6420,14159
Amber Weber,bthomas,20649,6646,23008,0,4195,0
Amber Wilkinson,meredith12,12659,0,300,0,12668,17354
Amy Andrews,vmason,9796,0,3950,3398,9800,3000
Amy Baker,elizabethmichael,7960,10373,0,0,799,0
Amy Barnett,ekelley,25304,6450,8490,5696,0,5992
Amy Bryant,lorithompson,597,18156,0,11594,0,0
Amy Bryant,nsexton,0,6285,4589,8475,9892,3797
Amy Carson,johnsonbethany,2898,450,597,15357,0,8485
Amy Crawford,cjones,9982,6000,4696,2300,13292,0
Amy Davis,frances67,22602,0,6486,8828,11995,6393
Amy Dorsey,scottgrace,3289,26604,4442,4495,12858,597
Amy Fitzgerald,thomasortega,5299,8000,0,2000,0,18942
Amy Freeman,ohanson,5480,3696,0,6097,11196,17003
Amy Frey,lsmith,199,0,12286,20261,20668,5996
Amy Goodwin,pbarrett,18423,0,0,796,0,7093
Amy Gray,thomasvernon,2490,500,15440,1599,0,6746
Amy Harvey,svaughn,0,10895,2147,12010,2046,0
Amy Herring,ryanlynch,16551,11586,17608,0,0,0
Amy Hogan,fischerdeborah,7579,16294,12265,12641,5196,5296
Amy Howell,katie13,12363,7997,6638,16072,1748,16945
Amy Hughes,chad71,1998,15005,6970,20356,10938,8765
Amy Jackson,wellsshelly,0,0,0,0,15377,0
Amy Johnson,rharvey,0,0,0,2949,16237,2000
Amy Jones,mcfarlandwilliam,6766,11495,3346,14692,16817,600
Amy Jordan,martinlatasha,12833,10116,0,4494,9083,6450
Amy Larson,kyoung,0,11646,8909,14892,22528,799
Amy Mack,velazquezmackenzie,1990,15146,11007,15058,22940,10927
Amy Mata,michelleandersen,0,0,0,8990,3299,12187
Amy Mcguire,ccallahan,1990,0,11857,0,10987,11394
Amy Mclaughlin,qbanks,1398,0,15063,0,7300,2598
Amy Mcmillan,blevine,8838,4787,3695,6397,799,0
Amy Morales,margaretmiller,0,21149,0,3496,3846,11191
Amy Munoz,douglas89,9856,25539,0,0,1498,5196
Amy Murillo,bbanks,15534,5594,11687,16946,22846,8397
Amy Norris,kcarlson,0,22357,14189,20044,8995,8897
Amy Ortega,loconnor,14096,9555,1796,8182,3195,0
Amy Ray,lawrencejacob,12492,3796,11836,7500,23215,14346
Amy Roberts,lisamiller,0,0,10335,19648,0,12852
Amy Rodriguez,jonesscott,4695,4196,9898,1899,0,4779
Amy Rogers,gyoung,1990,9844,19478,4397,14885,1650
Amy Romero,james74,0,597,0,13887,600,13008
Amy Rosales,fyork,10091,4047,1498,1598,9386,10759
Amy Sellers,gamblesteven,13858,9094,7893,0,11800,799
Amy Soto,daniel64,14470,3346,13064,16392,6044,4347
Amy Stewart,gwhite,2698,2598,11392,4897,10891,10492
Amy Suarez,zstevens,8568,2246,0,8099,8598,10189
Amy Sutton,williamward,0,3299,4346,18367,22203,5946
Amy Valentine,ingramjennifer,2250,7960,7591,21990,15846,11470
Amy Vargas,cory04,0,7696,18353,5970,12742,0
Amy Wade,eric03,13149,2000,12526,10492,20487,18485
Amy West,hayneskelly,13196,13983,1500,0,5088,3000
Amy Williams,smithricardo,0,6120,8557,8992,19652,2598
Amy Wilson,wendy97,10066,17377,9083,21301,2945,0
Amy Woods,jacobscott,2397,12832,12495,12294,14049,22591
Ana Reilly,james91,13068,11857,3980,9867,8769,1498
Ana Smith,richardgreen,21655,7029,0,13527,8995,15862
Andre Campos,billsanchez,21626,150,0,11465,5186,12055
Andre Cunningham,kristinyang,0,12865,20455,6570,0,9131
Andre Olson,david64,7794,0,0,12772,12063,5196
Andre Ray,carrie28,7597,0,0,0,11030,13996
Andre Shepherd,michael14,0,9392,0,6197,300,6769
Andre Ward,flowersevan,12874,12842,5896,0,12063,5196
Andre Williams,amandaharris,0,0,7617,7492,14482,0
Andrea Allen,donald20,17237,949,0,0,12595,0
Andrea Black,cdelacruz,5992,10793,26044,10296,16808,1990
Andrea Brown,sharon79,0,17638,12485,2599,8187,6450
Andrea Brown,ytran,13149,398,7216,7598,0,2450
Andrea Cain,adamsdebra,8686,4495,3645,13398,12392,0
Andrea Cooper,andrewsjanet,5897,597,0,11970,8693,2397
Andrea Cooper,bward,8000,0,0,398,8989,26222
Andrea Crane,ashley38,5990,0,5496,3498,11692,12473
Andrea Dixon,millerernest,2896,5793,0,11645,7960,10764
Andrea Hall,lopezgregory,18039,10895,20067,4800,3599,10094
Andrea Hanna,william51,7420,0,5679,4149,3980,0
Andrea Howard,joseramirez,7590,7094,5296,9230,16204,0
Andrea Johnson,canderson,11244,1742,7477,13047,19017,0
Andrea Kelly,brian36,4897,12514,0,5598,0,0
Andrea Lopez,rchase,13355,9842,16719,19455,9157,4430
Andrea Lowery,kenneth05,5299,12267,6777,11799,4898,5183
Andrea Mccarty,latoya87,6480,7749,6495,12591,10430,6877
Andrea Nguyen,roger43,12495,15255,4650,747,4495,0
Andrea Phillips,drewsnyder,18642,10207,0,3897,6000,0
Andrea Porter,jpowell,0,19113,0,0,0,19251
Andrea Santos,wallacebarbara,9570,0,7042,5342,0,4047
Andrea Schmidt,pkoch,5930,20940,11108,2995,5297,1699
Andrea Stout,wfarrell,5887,0,6169,13372,4896,0
Andrea Williamson,eboone,548,8548,1998,7669,0,500
Andrew Adams,denise64,0,3795,0,0,3897,14671
Andrew Alvarado,williamsondenise,15179,9292,23722,0,24165,9380
Andrew Anderson,mitchellchristopher,1500,7197,2045,2847,0,0
Andrew Bennett,carloconnor,8176,8392,3897,14944,8093,8377
Andrew Bray,robertschristopher,2097,0,7176,9980,5496,2598
Andrew Brown,rwalsh,19596,8598,15005,8390,0,7026
Andrew Bush,jwalsh,9885,8878,0,14544,4950,0
Andrew Calhoun,ykelly,8000,13361,12190,0,9017,6095
Andrew Cervantes,zmann,11857,11038,12656,7960,0,0
Andrew Charles,mitchellbarbara,7894,0,300,5799,12551,12761
Andrew Chavez,katrina16,7420,1796,11970,10277,13087,6176
Andrew Chavez,munozjordan,12746,6098,398,5992,6496,13197
Andrew Clark,lisa89,11550,16092,799,9956,3196,398
Andrew Conrad,hphillips,9192,0,9356,2490,5789,1399
Andrew Cuevas,pereznicole,6000,8367,7390,1150,4990,9696
Andrew Curtis MD,hmartin,15567,1499,0,13154,10068,6368
Andrew Dillon,amy62,14385,15384,2345,17852,10755,14114
Andrew Dodson,sharon79,998,799,15060,7565,15151,0
Andrew Fowler,justinvaldez,8696,18904,5388,0,5746,6720
Andrew Fuller,davidturner,7299,14970,0,3394,0,16355
Andrew Fuller,joshua16,7243,5591,12951,10996,0,17500
Andrew Fuller,kristin19,3087,13206,14293,4696,4696,0
Andrew Gaines,janderson,20962,3496,5945,7976,2397,4899
Andrew Garcia,kellireynolds,0,11706,6543,0,0,14219
Andrew Gonzalez,claudiabrown,10392,13568,4537,0,17008,0
Andrew Gonzalez,stephenhawkins,0,19196,8000,8662,11375,1096
